Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
829-34-3910,A,1,0,0,Normal,Male,Health and beauty,71.38,10,35.69,,3/29/2019,19:21,Cash,5.7
299-46-1805,B,0,0,1,Normal,Male,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,4.5
656-95-9349,A,1,0,0,Normal,Male,Health and beauty,68.93,7,241.255,5.066.355,3/11/2019,11:03,Credit card,4.6
765-26-6951,A,1,0,0,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,6.9
329-62-1586,A,1,0,0,Normal,Male,Food and beverages,54.67,3,82.005,1.722.105,1/21/2019,18:00,Credit card,8.6
319-50-3348,B,0,0,1,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,4.4
300-71-4605,C,0,1,0,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,4.8
371-85-5789,B,0,0,1,Normal,Male,Health and beauty,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,5.1
273-16-6619,B,0,0,1,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,4.4
636-48-8204,A,1,0,0,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,9.9
549-59-1358,A,1,0,0,Normal,Male,Sports and travel,88.63,3,132.945,2.791.845,3/2/2019,17:36,Ewallet,6
227-03-5010,A,1,0,0,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,8.5
649-29-6775,B,0,0,1,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,6.7
189-17-4241,A,1,0,0,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,12:17,Credit card,7.7
145-94-9061,B,0,0,1,Normal,Male,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,9.6
848-62-7243,A,1,0,0,Normal,Male,Health and beauty,24.89,9,112.005,2.352.105,3/15/2019,15:36,Cash,7.4
871-79-8483,B,0,0,1,Normal,Male,Fashion accessories,94.13,5,235.325,4.941.825,2/25/2019,19:39,Credit card,4.8
149-71-6266,B,0,0,1,Normal,Male,Sports and travel,78.07,9,351.315,7.377.615,1/28/2019,12:43,Cash,4.5
640-49-2076,B,0,0,1,Normal,Male,Sports and travel,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,5.1
595-11-5460,A,1,0,0,Normal,Male,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,5.1
183-56-6882,C,0,1,0,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,7.5
232-16-2483,C,0,1,0,Normal,Male,Sports and travel,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,6.8
129-29-8530,A,1,0,0,Normal,Male,Sports and travel,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,7
272-65-1806,A,1,0,0,Normal,Male,Electronic accessories,60.88,9,27.396,,1/15/2019,17:17,Ewallet,4.7
333-73-7901,C,0,1,0,Normal,Male,Health and beauty,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,7.6
777-82-7220,B,0,0,1,Normal,Male,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,7.7
280-35-5823,B,0,0,1,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,7.9
554-53-8700,C,0,1,0,Normal,Male,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,6.3
354-25-5821,B,0,0,1,Normal,Male,Sports and travel,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,5.6
228-96-1411,C,0,1,0,Normal,Male,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,7.6
617-15-4209,C,0,1,0,Normal,Male,Health and beauty,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,7.2
132-32-9879,B,0,0,1,Normal,Male,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,9.5
370-41-7321,B,0,0,1,-,Male,Health and beauty,56.69,9,255.105,5.357.205,2/27/2019,17:24,Credit card,8.4
727-46-3608,B,0,0,1,-,Male,Food and beverages,20.01,9,90.045,1.890.945,2/6/2019,15:47,Ewallet,4.1
669-54-1719,B,0,0,1,-,Male,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,12:45,Credit card,8.1
574-22-5561,C,0,1,0,-,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,7.9
326-78-5178,C,0,1,0,-,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,9.5
162-48-8011,A,1,0,0,-,Female,Food and beverages,44.59,5,111.475,2.340.975,2/10/2019,15:10,Cash,8.5
616-24-2851,B,0,0,1,-,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,6.5
778-71-5554,C,0,1,0,-,Male,Fashion accessories,15.43,1,0.7715,162.015,1/25/2019,15:46,Credit card,6.1
242-55-6721,B,0,0,1,-,Male,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,6.5
399-46-5918,C,0,1,0,-,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,8.2
106-35-6779,A,1,0,0,-,Male,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,5.8
635-40-6220,A,1,0,0,-,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,6.6
817-48-8732,A,1,0,0,-,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,5.4
120-06-4233,C,0,1,0,-,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,9.3
285-68-5083,C,0,1,0,-,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,10
803-83-5989,C,0,1,0,-,Male,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,7
347-34-2234,B,0,0,1,-,Female,Sports and travel,55.07,9,247.815,5.204.115,2/3/2019,13:40,Ewallet,10
199-75-8169,A,1,0,0,-,Male,Sports and travel,15.81,10,7.905,166.005,3/6/2019,12:27,Credit card,8.6
853-23-2453,B,0,0,1,-,Male,Health and beauty,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,7.6
877-22-3308,A,1,0,0,-,Male,Health and beauty,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,5.8
838-78-4295,C,0,1,0,-,Female,Health and beauty,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,6.7
109-28-2512,B,0,0,1,-,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,9.9
232-11-3025,A,1,0,0,-,Male,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,6.4
382-03-4532,A,1,0,0,-,Female,Health and beauty,18.33,1,0.9165,192.465,2/2/2019,18:50,Cash,4.3
393-65-2792,C,0,1,0,-,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,9.6
796-12-2025,C,0,1,0,-,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,5.9
510-95-6347,B,0,0,1,-,Female,Food and beverages,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,4
841-35-6630,C,0,1,0,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,8.7
287-21-9091,A,1,0,0,Normal,Male,Home and lifestyle,74.67,9,336.015,7.056.315,1/22/2019,10:55,Ewallet,9.4
732-94-0499,C,0,1,0,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,5.4
263-10-3913,C,0,1,0,Member,Male,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,14:20,Credit card,8.6
381-20-0914,A,1,0,0,Member,Female,Fashion accessories,20.01,9,90.045,1.890.945,1/12/2019,15:48,Credit card,5.7
829-49-1914,C,0,1,0,Member,Female,Food and beverages,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,6.6
756-01-7507,C,0,1,0,Normal,Female,Health and beauty,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,6
870-72-4431,C,0,1,0,Normal,Female,Health and beauty,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,5.5
847-38-7188,B,0,0,1,Normal,Female,Food and beverages,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,6.4
480-63-2856,C,0,1,0,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,6.6
787-56-0757,C,0,1,0,Member,Female,Food and beverages,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,8.3
360-39-5055,C,0,1,0,Member,Male,Sports and travel,48.91,5,122.275,2.567.775,3/9/2019,10:17,Cash,6.6
730-50-9884,C,0,1,0,Normal,Female,Sports and travel,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,4
362-58-8315,C,0,1,0,Normal,Male,Fashion accessories,76.52,5,,401.73,3/25/2019,10:23,Cash,9.9
633-44-8566,A,1,0,0,Member,Male,Food and beverages,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,7.3
504-35-8843,A,1,0,0,Normal,Male,Sports and travel,42.47,1,21.235,445.935,1/2/2019,16:57,Cash,5.7
318-68-5053,B,0,0,1,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,6.1
565-80-5980,C,0,1,0,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,7.1
225-32-0908,C,0,1,0,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,8.2
873-51-0671,A,1,0,0,Member,Female,Sports and travel,21.98,7,,161.553,1/10/2019,16:42,Ewallet,5.1
152-08-9985,B,0,0,1,Member,Male,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12:09,Credit card,8.6
512-91-0811,C,0,1,0,Normal,Male,Health and beauty,89.75,1,44.875,942.375,2/6/2019,20:05,Credit card,6.6
594-34-4444,A,1,0,0,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,7.2
766-85-7061,B,0,0,1,Normal,Male,Health and beauty,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,5.1
871-39-9221,C,0,1,0,Normal,Female,Electronic accessories,12.45 USD,6,,78.435,2/9/2019,13:11,Cash,4.1
865-92-6136,A,1,0,0,Normal,Male,Food and beverages,52.75,3,79.125,1.661.625,3/23/2019,10:16,Ewallet,9.3
733-01-9107,B,0,0,1,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,7.4
163-56-7055,C,0,1,0,Member,Male,Fashion accessories,48.71,1,24.355,511.455,3/26/2019,19:20,Cash,4.1
189-98-2939,C,0,1,0,Normal,Male,Fashion accessories,78.55,9,353.475,7.422.975,3/1/2019,13:22,Cash,7.2
551-21-3069,C,0,1,0,Normal,Female,Electronic accessories,23.07,9,103.815,2.180.115,2/1/2019,11:27,Cash,4.9
212-62-1842,A,1,0,0,Normal,Male,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,9.9
716-39-1409,B,0,0,1,Normal,Male,Health and beauty,30.35,7,106.225,2.230.725,3/19/2019,18:19,Cash,8
704-48-3927,A,1,0,0,Member,Male,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,14:50,Ewallet,7.3
628-34-3388,C,0,1,0,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,1/5/2019,20:54,Credit card,7.9
630-74-5166,A,1,0,0,Normal,Male,Sports and travel,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,7.4
588-01-7461,C,0,1,0,Normal,Female,Food and beverages,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,4.2
861-77-0145,C,0,1,0,Member,Male,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,9.2
479-26-8945,B,0,0,1,Member,Female,Sports and travel,16.49,2,1.649,34.629,2/5/2019,11:32,Ewallet,4.6
210-67-5886,C,0,1,0,Member,Female,Health and beauty,98.21,3,147.315,3.093.615,2/5/2019,10:41,Credit card,7.8
227-78-1148,B,0,0,1,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,8.4
645-44-1170,A,1,0,0,Member,Male,Home and lifestyle,58.07,9,261.315,5.487.615,1/19/2019,20:07,Ewallet,4.3
237-01-6122,C,0,1,0,Member,Female,Home and lifestyle,80.79,9,363.555,7.634.655,2/1/2019,20:31,Credit card,9.5
225-98-1496,C,0,1,0,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,13:01,Credit card,7.1
291-32-1427,B,0,0,1,Member,Male,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,12:29,Ewallet,5.3
659-65-8956,B,0,0,1,Member,Male,Fashion accessories,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,5.2
642-32-2990,A,1,0,0,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,6
378-24-2715,B,0,0,1,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,4.1
638-60-7125,A,1,0,0,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,17:03,Credit card,5.2
659-36-1684,C,0,1,0,Member,Male,Sports and travel,57.12,7,19.992,419.832,1/12/2019,12:02,Credit card,6.5
219-22-9386,B,0,0,1,Member,Male,Sports and travel,99.96,9,44.982,944.622,3/9/2019,17:26,Credit card,4.2
336-78-2147,C,0,1,0,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,3/13/2019,19:52,Credit card,4.6
268-27-6179,B,0,0,1,Member,Female,Fashion accessories,56.47,8,22.588,474.348,3/9/2019,14:57,Ewallet,7.3
668-90-8900,A,1,0,0,Normal,Female,Home and lifestyle,93.69,7,327.915,6.886.215,3/10/2019,18:44,Credit card,4.5
870-54-3162,A,1,0,0,Normal,Female,Sports and travel,32.25,5,80.625,1.693.125,1/27/2019,13:26,Cash,9
189-08-9157,C,0,1,0,Normal,Female,Fashion accessories,31.73,9,142.785,2.998.485,1/8/2019,16:17,Credit card,5.9
663-86-9076,C,0,1,0,Member,Female,Food and beverages,68.54,8,27.416,575.736,1/8/2019,15:57,Ewallet,8.5
549-84-7482,B,0,0,1,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2/8/2019,11:15,Ewallet,7.2
191-10-6171,B,0,0,1,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,1/25/2019,13:18,Cash,7.5
802-70-5316,A,1,0,0,Member,Female,Sports and travel,92.13,6,27.639,580.419,3/6/2019,20:34,Cash,8.3
695-51-0018,B,0,0,1,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2/10/2019,18:36,Cash,7.4
590-83-4591,B,0,0,1,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2/17/2019,14:40,Credit card,8.8
483-71-1164,C,0,1,0,Normal,Female,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,Ewallet,5.3
597-78-7908,C,0,1,0,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2/18/2019,19:39,Cash,6.2
700-81-1757,A,1,0,0,Normal,Female,Electronic accessories,26.31,5,65.775,1.381.275,1/18/2019,20:59,Credit card,8.8
354-39-5160,A,1,0,0,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,9.8
241-72-9525,B,0,0,1,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2/16/2019,12:21,Cash,8.2
575-30-8091,A,1,0,0,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,9.2
731-81-9469,C,0,1,0,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,5.4
280-17-4359,C,0,1,0,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,8.1
338-65-2210,C,0,1,0,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,9.1
488-25-4221,C,0,1,0,Member,Female,Food and beverages,30.41,1,15.205,319.305,2/22/2019,10:36,Credit card,8.4
239-10-7476,A,1,0,0,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,1/21/2019,16:37,Ewallet,8
458-41-1477,C,0,1,0,Normal,Female,Health and beauty,46.26,6,13.878,291.438,3/8/2019,17:11,Credit card,9.5
685-64-1609,A,1,0,0,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,9.2
568-90-5112,C,0,1,0,Normal,Male,Health and beauty,66.14,4,13.228,277.788,3/19/2019,12:46,Credit card,5.6
262-47-2794,B,0,0,1,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,3/6/2019,15:07,Credit card,6.2
238-49-0436,A,1,0,0,Normal,Male,Health and beauty,32.46,8,12.984,272.664,3/27/2019,13:48,Credit card,4.9
608-96-3517,B,0,0,1,Member,Female,Fashion accessories,91.54,4,18.308,384.468,3/23/2019,19:20,Credit card,4.8
584-86-7256,C,0,1,0,Member,Male,Sports and travel,34.56,7,12.096,254.016,3/11/2019,16:07,Credit card,7.3
746-94-0204,A,1,0,0,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,1/29/2019,11:56,Credit card,7.4
214-17-6927,C,0,1,0,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2/7/2019,18:23,Ewallet,9.9
400-89-4171,C,0,1,0,Normal,Female,Sports and travel,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,9.3
782-95-9291,A,1,0,0,Member,Male,Food and beverages,92.29,5,230.725,4.845.225,2/20/2019,15:55,Credit card,9
279-74-2924,B,0,0,1,Member,Male,Electronic accessories,72.17,1,36.085,757.785,1/4/2019,19:40,Cash,6.1
307-85-2293,B,0,0,1,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,97
743-04-1105,B,0,0,1,Member,Male,Health and beauty,97.22,9,43.749,918.729,3/30/2019,14:43,Ewallet,6
423-57-2993,B,0,0,1,Normal,Male,Sports and travel,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,10
894-41-5205,C,0,1,0,Normal,Female,Food and beverages,43.18,8,17.272,362.712,1/19/2019,19:39,Credit card,8.3
275-28-0149,A,1,0,0,Normal,Male,Sports and travel,63.69,1,31.845,668.745,2/25/2019,16:21,Cash,6
101-17-6199,A,1,0,0,Normal,Male,Food and beverages,45.79,7,160.265,3.365.565,3/13/2019,19:44,Credit card,7
423-80-0988,C,0,1,0,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,6.5
548-46-9322,B,0,0,1,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,5.9
505-02-0892,B,0,0,1,Member,Male,Health and beauty,42.57,8,17.028,357.588,2/25/2019,14:12,Ewallet,5.6
234-65-2137,C,0,1,0,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,4.8
687-47-8271,A,1,0,0,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,16:20,Credit card,8.7
796-32-9050,A,1,0,0,Normal,Male,Food and beverages,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,6.5
105-31-1824,A,1,0,0,Member,Male,Sports and travel,69.52,7,24.332,510.972,2/1/2019,15:10,Credit card,8.5
249-42-3782,A,1,0,0,Normal,Male,Health and beauty,70.01,5,175.025,3.675.525,1/3/2019,11:36,Ewallet,5.5
316-55-4634,B,0,0,1,Member,Male,Food and beverages,80.05,5,200.125,4.202.625,1/26/2019,12:45,Credit card,9.4
733-33-4967,C,0,1,0,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,19:17,Cash,6.3
608-27-6295,B,0,0,1,Member,Male,Electronic accessories,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,9.8
414-12-7047,B,0,0,1,Normal,Male,Food and beverages,19.79,8,7.916,166.236,1/18/2019,12:04,Ewallet,8.7
827-26-2100,A,1,0,0,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,3/21/2019,16:21,Ewallet,8.8
175-54-2529,A,1,0,0,Member,Male,Food and beverages,22.17,8,8.868,186.228,3/3/2019,17:01,Credit card,9.6
139-52-2867,C,0,1,0,Normal,Female,Fashion accessories,22.51,7,78.785,1.654.485,2/13/2019,10:50,Credit card,4.8
407-63-8975,A,1,0,0,Normal,Male,Food and beverages,73.88,6,22.164,465.444,3/23/2019,19:16,Ewallet,4.4
342-65-4817,C,0,1,0,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,9.9
130-98-8941,C,0,1,0,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2/9/2019,10:00,Cash,5.7
434-83-9547,C,0,1,0,Member,Male,Food and beverages,38.47,8,15.388,323.148,1/23/2019,11:51,Cash,7.7
851-28-6367,A,1,0,0,Member,Male,Sports and travel,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,8
824-88-3614,C,0,1,0,Normal,Male,Health and beauty,34.31,8,13.724,288.204,1/25/2019,15:00,Ewallet,5.7
586-25-0848,A,1,0,0,Normal,Female,Sports and travel,12.34,7,4.319,90.699,3/4/2019,11:19,Credit card,6.7
895-66-0685,B,0,0,1,Member,Male,Food and beverages,18.08,3,2.712,56.952,3/5/2019,19:46,Ewallet,8
305-14-0245,B,0,0,1,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,3/3/2019,19:00,Ewallet,7.5
732-04-5373,B,0,0,1,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2/8/2019,10:53,Cash,7
400-60-7251,A,1,0,0,Normal,Male,Home and lifestyle,74.07,1,37.035,777.735,2/10/2019,12:50,Ewallet,9.9
593-65-1552,C,0,1,0,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,1/28/2019,20:50,Credit card,5.9
284-34-9626,B,0,0,1,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2/11/2019,10:39,Credit card,7.2
437-58-8131,B,0,0,1,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,1/15/2019,13:41,Ewallet,4.6
286-43-6208,C,0,1,0,Normal,Female,Food and beverages,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,9.2
641-43-2399,B,0,0,1,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23,Ewallet,5.7
831-07-6050,A,1,0,0,Normal,Male,Electronic accessories,32.71,5,81.775,1.717.275,3/19/2019,11:30,Credit card,9.9
556-86-3144,C,0,1,0,Member,Female,Fashion accessories,74.29,1,37.145,780.045,1/13/2019,19:30,Cash,5
848-24-9445,C,0,1,0,Member,Male,Health and beauty,43.7,2,4.37,91.77,3/26/2019,18:03,Cash,4.9
856-22-8149,A,1,0,0,Normal,Female,Home and lifestyle,25.29,1,12.645,265.545,3/23/2019,10:13,Ewallet,6.1
699-01-4164,C,0,1,0,Normal,Male,Health and beauty,41.5,4,8.3,174.3,3/12/2019,19:58,Credit card,8.2
420-11-4919,C,0,1,0,Member,Female,Food and beverages,71.39,5,178.475,3.747.975,2/17/2019,19:57,Credit card,5.5
606-80-4905,C,0,1,0,Member,Female,Sports and travel,19.15,6,5.745,120.645,1/29/2019,10:01,Credit card,6.8
542-41-0513,B,0,0,1,Member,Female,Electronic accessories,57.49,4,11.498,241.458,3/15/2019,11:57,Cash,6.6
426-39-2418,C,0,1,0,Normal,Male,Electronic accessories,61.41,7,214.935,4.513.635,1/14/2019,10:02,Cash,9.8
875-46-5808,B,0,0,1,Member,Male,Health and beauty,25.9,10,12.95,271.95,2/6/2019,14:51,Ewallet,8.7
394-43-4238,B,0,0,1,Member,Male,Home and lifestyle,17.77,5,44.425,932.925,2/15/2019,12:42,Credit card,5.4
749-24-1565,A,1,0,0,Normal,Female,Health and beauty,23.03,9,103.635,2.176.335,1/3/2019,12:02,Ewallet,7.9
672-51-8681,C,0,1,0,Member,Female,Electronic accessories,66.65,9,299.925,6.298.425,1/4/2019,18:19,Credit card,9.7
263-87-5680,C,0,1,0,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,3/18/2019,17:38,Ewallet,7.8
573-58-9734,B,0,0,1,Normal,Female,Fashion accessories,30.37,3,45.555,956.655,3/28/2019,13:41,Ewallet,5.1
817-69-8206,B,0,0,1,Normal,Female,Electronic accessories,99.73,9,448.785,9.424.485,3/2/2019,19:42,Credit card,6.5
888-02-0338,A,1,0,0,Normal,Male,Electronic accessories,26.23,9,118.035,2.478.735,1/25/2019,20:24,Ewallet,5.9
677-11-0152,C,0,1,0,Normal,Female,Food and beverages,93.26,9,41.967,881.307,1/16/2019,18:08,Cash,8.8
142-63-6033,B,0,0,1,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,3/20/2019,19:17,Ewallet,4.9
656-16-1063,B,0,0,1,Normal,Male,Sports and travel,46.42,3,6.963,146.223,1/4/2019,13:24,Credit card,4.4
891-58-8335,B,0,0,1,Member,Female,Sports and travel,29.61,7,103.635,2.176.335,3/11/2019,15:53,Cash,6.5
802-43-8934,A,1,0,0,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,3/22/2019,15:05,Credit card,8.3
560-30-5617,B,0,0,1,Normal,Female,Sports and travel,24.77,5,61.925,1.300.425,3/24/2019,18:27,Cash,8.5
319-74-2561,A,1,0,0,Member,Female,Electronic accessories,94.64,3,14.196,298.116,2/21/2019,16:55,Cash,5.5
